,Word,Start_time_combined,End_time_combined,Log_Freq_HAL,WordRate,lex_surprisal_bits,pos_surprisal_bits,phoneme_surprisal_bits
179,he,66.33,66.47,13.98,1,2.16,12.64,2.75
180,wasn't,66.47,66.86,11.233,1,6.15,11.6,1.84
181,a,66.86,66.92,16.177,1,2.58,16.11,3.54
182,white,66.92,67.34,11.917,1,10.81,,11.73
183,dog,67.34,67.76,10.974,1,2.5,,3.37
184,because,68,68.28,13.129,1,7.82,11.89,3.17
185,parts,68.28,68.57,11.102,1,17.52,,
186,of,68.57,68.66,16.214,1,0.27,15.55,0.38
187,him,68.66,68.88,12.818,1,2.32,12.08,0.77
188,were,68.88,69.03,13.406,1,1.21,7.97,1.62
189,brown,69.03,69.57,10.648,1,5.56,7.25,4.1
190,and,69.81,69.93,16.187,1,2.57,13.87,3.59
191,other,69.93,70.12,13.708,1,7.58,4.23,7.6
192,parts,70.12,70.49,11.102,1,0.18,,0.22
193,were,70.49,70.62,13.406,1,0.12,8.77,0.17
194,black,70.62,71.1,11.988,1,2.21,3.28,2.23
195,and,71.45,71.68,16.187,1,2.57,12.3,3.62
196,in,71.68,71.89,15.897,1,6.65,6,6.19
197,between,71.89,72.66,12.35,1,5.45,14.7,6.7
198,there,72.66,72.9,14.088,1,4.59,7.23,2.17
199,were,72.9,73.08,13.406,1,1.33,11.52,0.14
200,yellowish,73.08,73.88,5.541,1,14.56,3.97,11.2
201,patches,73.88,74.65,9.487,1,5.64,2.83,5.48
202,his,75.62,75.96,13.644,1,8.43,12.92,7.3
203,ears,75.96,76.4,9.415,1,5.05,1.74,6.83
204,stood,76.4,76.73,9.575,1,9.27,5.19,8.53
205,up,76.73,77.03,13.744,1,4.2,14.47,4.64
206,and,77.4,77.56,16.187,1,2.06,6.61,2.69
207,his,77.56,77.9,13.644,1,3.33,7.86,2.61
208,tail,77.9,78.41,9.33,1,5.26,16.18,5.93
209,was,78.41,78.61,14.556,1,1.97,8.02,2.44
210,long,78.61,79.17,12.521,1,4.56,6.65,4.54
211,and,79.17,79.35,16.187,1,1.36,14.11,1.9
212,thin,79.35,79.82,9.565,1,7.65,2.71,8.91
213,the,82.872993,82.982993,16.955,1,5.83,2.52,6.33
214,dog,82.982993,83.492993,10.974,1,3,4.69,3.99
215,was,83.842993,84.062993,14.556,1,1.59,,2.11
216,hungry,84.062993,84.672993,8.748,1,10.98,4.12,7.53
217,when,85.802993,85.992993,13.758,1,6.76,14.15,7.5
218,henry,85.992993,86.352993,0,1,11.82,,0.81
219,licked,86.352993,86.842993,7.863,1,12.2,,5.27
220,he,87.302993,87.562993,13.98,1,8.96,,0.66
221,licked,87.562993,88.082993,7.863,1,7.74,1.16,6.03
222,when,88.702993,88.912993,13.758,1,9.58,0.57,8.18
223,henry,88.912993,89.322993,0,1,2.98,14.19,0.67
224,swallowed,89.322993,90.032993,7.703,1,10.46,,5.38
225,he,90.582993,90.812993,13.98,1,1.93,,1.48
226,swallowed,90.812993,91.482993,7.703,1,2.71,1.54,3.45
227,hello,92.342993,92.712993,10.637,1,22.3,6.88,8.94
228,you,92.712993,92.932993,15.431,1,6.7,3.85,8.53
229,old,92.932993,93.142993,12.381,1,9.22,10.08,10.02
230,dog,93.142993,93.552993,10.974,1,2.95,9.71,3.95
231,henry,93.992993,94.302993,0,1,5.94,10.72,4.03
232,said,94.302993,94.712993,12.772,1,5.77,3.75,4.63
233,you,95.422993,95.682993,15.431,1,4.36,10.93,5.38
234,can't,95.682993,96.032993,12.528,1,7.45,1.45,6.42
235,have,96.032993,96.382993,14.915,1,4.9,10.43,6.14
236,my,96.382993,96.572993,14.386,1,6.14,13.71,6.53
237,ice,96.572993,96.842993,10.547,1,10.41,16.02,12.04
238,cream,96.842993,97.072993,9.197,1,0.02,,0.02
239,cone,97.072993,97.522993,8.172,1,2.56,3.28,3.43
240,swish,98.472993,98.902993,5.663,1,19.75,4.82,7.01
241,swish,98.902993,99.332993,5.663,1,7.05,5.38,8.44
242,swish,99.332993,99.932993,5.663,1,1.27,5.49,6.39
243,went,99.932993,100.172993,11.658,1,10.17,0.95,7.58
244,the,100.172993,100.242993,16.955,1,7.46,12.73,8.81
245,tail,100.242993,100.712993,9.33,1,12.16,13.09,8.19
246,just,101.852993,102.662993,13.836,1,8.94,4.05,10.38
247,one,102.662993,103.592993,14.172,1,7.62,5.69,5.48
248,bite,103.592993,103.892993,9.007,1,6.84,1.49,6.55
249,the,103.892993,104.342993,16.955,1,4.56,5.89,5.28
250,dog's,105.162993,105.522993,7.834,1,8.36,10.09,2.54
251,brown,105.522993,105.802993,10.648,1,10.66,0.35,5.59
252,eyes,105.802993,106.072993,10.969,1,2.94,,4.08
253,seemed,106.072993,106.392993,10.544,1,9.04,7.08,5.49
254,to,106.392993,106.482993,16.354,1,1.35,1.72,1.86
255,say,106.482993,106.962993,12.792,1,5.32,8.82,4.67
256,go,107.812993,108.082993,12.923,1,7.59,5.98,7.03
257,away,108.082993,108.702993,11.924,1,3.97,3.96,4.44
258,henry,109.182993,109.522993,0,1,7.8,10.01,5.48
259,ordered,109.522993,109.972993,9.833,1,11.83,0.93,11.57
260,he,110.872993,111.022993,13.98,1,8.88,8,5.17
261,wasn't,111.022993,111.382993,11.233,1,8.62,7.64,3.79
262,very,111.382993,111.622993,13.284,1,7.96,,11.31
263,firm,111.622993,112.032993,10.45,1,16.14,9.48,6.67
264,about,112.032993,112.312993,14.083,1,7.58,2.4,5.37
265,it,112.312993,112.542993,15.365,1,1.34,11.74,1.92
266,he,113.332993,113.492993,13.98,1,1.8,11.02,2.33
267,patted,113.492993,113.852993,6.023,1,11.93,5.31,7.54
